Central,Recurso,Punto_de_ medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Semestral,NTE INEN_1108,Color real,19/03/2018 9:10,25,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Semestral,NTE INEN_1108,Turbiedad,19/03/2018 9:10,0.53,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Semestral,NTE INEN_1108,DBO5,19/03/2018 9:10,1.71,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Semestral,NTE INEN_1108,DQO,19/03/2018 9:10,3.8,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Semestral,NTE INEN_1108,Coliformes fecales,19/03/2018 9:10,1,
Mazar,Agua potable,Cocina,770500,9716243,Semestral,NTE INEN_1108,Color real,19/03/2018 12:15,35,
Mazar,Agua potable,Cocina,770500,9716243,Semestral,NTE INEN_1108,Turbiedad,19/03/2018 12:15,0.38,
Mazar,Agua potable,Cocina,770500,9716243,Semestral,NTE INEN_1108,DBO5,19/03/2018 12:15,1.26,
Mazar,Agua potable,Cocina,770500,9716243,Semestral,NTE INEN_1108,DQO,19/03/2018 12:15,3.77,
Mazar,Agua potable,Cocina,770500,9716243,Semestral,NTE INEN_1108,Coliformes fecales,19/03/2018 12:15,1,
Mazar,Agua potable,Villa,770510,9716056,Semestral,NTE INEN_1108,Color real,19/03/2018 12:00,34,
Mazar,Agua potable,Villa,770510,9716056,Semestral,NTE INEN_1108,Turbiedad,19/03/2018 12:00,0.35,
Mazar,Agua potable,Villa,770510,9716056,Semestral,NTE INEN_1108,DBO5,19/03/2018 12:00,1.68,
Mazar,Agua potable,Villa,770510,9716056,Semestral,NTE INEN_1108,DQO,19/03/2018 12:00,3.69,
Mazar,Agua potable,Villa,770510,9716056,Semestral,NTE INEN_1108,Coliformes fecales,19/03/2018 12:00,1,
Mazar,Agua potable,Casa_de_máquinas,764904,9723286,Semestral,NTE INEN_1108,Color real,19/03/2018 11:05,36,
Mazar,Agua potable,Casa_de_máquinas,764904,9723286,Semestral,NTE INEN_1108,Turbiedad,19/03/2018 11:05,0.71,
Mazar,Agua potable,Casa_de_máquinas,764904,9723286,Semestral,NTE INEN_1108,DBO5,19/03/2018 11:05,1.26,
Mazar,Agua potable,Casa_de_máquinas,764904,9723286,Semestral,NTE INEN_1108,DQO,19/03/2018 11:05,2.82,
Mazar,Agua potable,Casa_de_máquinas,764904,9723286,Semestral,NTE INEN_1108,Coliformes fecales,19/03/2018 11:05,1,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Anual,NTE INEN_1108,Color real,27/12/2018 0:00,1,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Anual,NTE INEN_1108,Turbiedad,27/12/2018 0:00,0.25,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Anual,NTE INEN_1108,DBO5,27/12/2018 0:00,2,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Anual,NTE INEN_1108,DQO,27/12/2018 0:00,4,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Anual,NTE INEN_1108,Coliformes fecales,27/12/2018 0:00,1,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Anual,NTE INEN_1108,Hierro,27/12/2018 0:00,0.25,
Mazar,Agua potable,Villa,770510,9716056,Anual,NTE INEN_1108,Color real,27/12/2018 0:00,1,
Mazar,Agua potable,Villa,770510,9716056,Anual,NTE INEN_1108,Turbiedad,27/12/2018 0:00,0.4,
Mazar,Agua potable,Villa,770510,9716056,Anual,NTE INEN_1108,DBO5,27/12/2018 0:00,2,
Mazar,Agua potable,Villa,770510,9716056,Anual,NTE INEN_1108,DQO,27/12/2018 0:00,4,
Mazar,Agua potable,Villa,770510,9716056,Anual,NTE INEN_1108,Coliformes fecales,27/12/2018 0:00,1,
Mazar,Agua potable,Villa,770510,9716056,Anual,NTE INEN_1108,Hierro,27/12/2018 0:00,0.25,
Mazar,Agua potable,Comedor,770500,9716237,Anual,NTE INEN_1108,Color real,27/12/2018 0:00,1,
Mazar,Agua potable,Comedor,770500,9716237,Anual,NTE INEN_1108,Turbiedad,27/12/2018 0:00,0.45,
Mazar,Agua potable,Comedor,770500,9716237,Anual,NTE INEN_1108,DBO5,27/12/2018 0:00,2,
Mazar,Agua potable,Comedor,770500,9716237,Anual,NTE INEN_1108,DQO,27/12/2018 0:00,4,
Mazar,Agua potable,Comedor,770500,9716237,Anual,NTE INEN_1108,Coliformes fecales,27/12/2018 0:00,1,
Mazar,Agua potable,Comedor,770500,9716237,Anual,NTE INEN_1108,Hierro,27/12/2018 0:00,0.25,
Mazar,Agua potable,Baño_casa_de_máquinas,764904,9723286,Anual,NTE INEN_1108,Color real,27/12/2018 0:00,1,
Mazar,Agua potable,Baño_casa_de_máquinas,764904,9723286,Anual,NTE INEN_1108,Turbiedad,27/12/2018 0:00,0.41,
Mazar,Agua potable,Baño_casa_de_máquinas,764904,9723286,Anual,NTE INEN_1108,DBO5,27/12/2018 0:00,2,
Mazar,Agua potable,Baño_casa_de_máquinas,764904,9723286,Anual,NTE INEN_1108,DQO,27/12/2018 0:00,4,
Mazar,Agua potable,Baño_casa_de_máquinas,764904,9723286,Anual,NTE INEN_1108,Coliformes fecales,27/12/2018 0:00,1,
Mazar,Agua potable,Baño_casa_de_máquinas,764904,9723286,Anual,NTE INEN_1108,Hierro,27/12/2018 0:00,0.25,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Anual,NTE INEN_1108,Coliformes fecales,18/09/2019 16:40,1,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Anual,NTE INEN_1108,Color real,18/09/2019 16:40,1,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Anual,NTE INEN_1108,DBO5,18/09/2019 16:40,2,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Anual,NTE INEN_1108,DQO,18/09/2019 16:40,4,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Anual,NTE INEN_1108,Hierro,18/09/2019 16:40,0.25,
Mazar,Agua potable,Planta_de_agua_potable,770601,9715951,Anual,NTE INEN_1108,Turbiedad,18/09/2019 16:40,0.21,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,Coliformes fecales,18/09/2019 16:40,1,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,Color real,18/09/2019 16:40,1,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,DBO5,18/09/2019 16:40,2,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,DQO,18/09/2019 16:40,4,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,Hierro,18/09/2019 16:40,0.25,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,Turbiedad,18/09/2019 16:40,0.52,
Mazar,Agua potable,Villa,770510,9716056,Anual,NTE INEN_1108,Coliformes fecales,18/09/2019 16:40,1,
Mazar,Agua potable,Villa,770510,9716056,Anual,NTE INEN_1108,Color real,18/09/2019 16:40,1,
Mazar,Agua potable,Villa,770510,9716056,Anual,NTE INEN_1108,DBO5,18/09/2019 16:40,2,
Mazar,Agua potable,Villa,770510,9716056,Anual,NTE INEN_1108,DQO,18/09/2019 16:40,4,
Mazar,Agua potable,Villa,770510,9716056,Anual,NTE INEN_1108,Hierro,18/09/2019 16:40,0.25,
Mazar,Agua potable,Villa,770510,9716056,Anual,NTE INEN_1108,Turbiedad,18/09/2019 16:40,0.1,
Mazar,Agua potable,Casa_de_máquinas,765111,9713226,Anual,NTE INEN_1108,Coliformes fecales,18/09/2019 16:40,1,
Mazar,Agua potable,Casa_de_máquinas,765111,9713226,Anual,NTE INEN_1108,Color real,18/09/2019 16:40,5,
Mazar,Agua potable,Casa_de_máquinas,765111,9713226,Anual,NTE INEN_1108,DBO5,18/09/2019 16:40,2,
Mazar,Agua potable,Casa_de_máquinas,765111,9713226,Anual,NTE INEN_1108,DQO,18/09/2019 16:40,4,
Mazar,Agua potable,Casa_de_máquinas,765111,9713226,Anual,NTE INEN_1108,Hierro,18/09/2019 16:40,0.25,
Mazar,Agua potable,Casa_de_máquinas,765111,9713226,Anual,NTE INEN_1108,Turbiedad,18/09/2019 16:40,0.39,
Mazar,Agua potable,Casa_de_máquinas_baño varones ,765498,9713304,Semestral,NTE INEN_1108,Coliformes fecales,28/08/2020 11:12,1.1,
Mazar,Agua potable,Casa_de_máquinas_baño varones ,765498,9713304,Semestral,NTE INEN_1108,DBO5,28/08/2020 11:12,0,
Mazar,Agua potable,Casa_de_máquinas_baño varones ,765498,9713304,Semestral,NTE INEN_1108,DQO,28/08/2020 11:12,0,
Mazar,Agua potable,Casa_de_máquinas_baño varones ,765498,9713304,Semestral,NTE INEN_1108,Color real,28/08/2020 11:12,6,
Mazar,Agua potable,Casa_de_máquinas_baño varones ,765498,9713304,Semestral,NTE INEN_1108,Turbiedad,28/08/2020 11:12,0.93,
Mazar,Agua potable,Casa_de_máquinas_cafetería ,770448,9716202,Semestral,NTE INEN_1108,Coliformes fecales,28/08/2020 11:23,1.1,
Mazar,Agua potable,Casa_de_máquinas_cafetería ,770448,9716202,Semestral,NTE INEN_1108,DBO5,28/08/2020 11:23,0,
Mazar,Agua potable,Casa_de_máquinas_cafetería ,770448,9716202,Semestral,NTE INEN_1108,DQO,28/08/2020 11:23,0,
Mazar,Agua potable,Casa_de_máquinas_cafetería ,770448,9716202,Semestral,NTE INEN_1108,Color real,28/08/2020 11:23,8,
Mazar,Agua potable,Casa_de_máquinas_cafetería ,770448,9716202,Semestral,NTE INEN_1108,Hierro,28/08/2020 11:23,0,
Mazar,Agua potable,Casa_de_máquinas_cafetería ,770448,9716202,Semestral,NTE INEN_1108,Turbiedad,28/08/2020 11:23,0.77,
Mazar,Agua potable,Planta_de_tratamiento_arenales ,770542,9716201,Semestral,NTE INEN_1108,Coliformes fecales,28/08/2020 13:45,1.1,
Mazar,Agua potable,Planta_de_tratamiento_arenales ,770542,9716201,Semestral,NTE INEN_1108,DBO5,28/08/2020 13:45,0,
Mazar,Agua potable,Planta_de_tratamiento_arenales ,770542,9716201,Semestral,NTE INEN_1108,DQO,28/08/2020 13:45,0,
Mazar,Agua potable,Planta_de_tratamiento_arenales ,770542,9716201,Semestral,NTE INEN_1108,Color real,28/08/2020 13:45,0,
Mazar,Agua potable,Planta_de_tratamiento_arenales ,770542,9716201,Semestral,NTE INEN_1108,Hierro,28/08/2020 13:45,0,
Mazar,Agua potable,Planta_de_tratamiento_arenales ,770542,9716201,Semestral,NTE INEN_1108,Turbiedad,28/08/2020 13:45,0.7,
Mazar,Agua potable,Villa_21,770528,9716193,Semestral,NTE INEN_1108,Coliformes fecales,28/08/2020 14:04,1.1,
Mazar,Agua potable,Villa_21,770528,9716193,Semestral,NTE INEN_1108,DBO5,28/08/2020 14:04,0,
Mazar,Agua potable,Villa_21,770528,9716193,Semestral,NTE INEN_1108,DQO,28/08/2020 14:04,4,
Mazar,Agua potable,Villa_21,770528,9716193,Semestral,NTE INEN_1108,Color real,28/08/2020 14:04,0,
Mazar,Agua potable,Villa_21,770528,9716193,Semestral,NTE INEN_1108,Hierro,28/08/2020 14:04,0,
Mazar,Agua potable,Villa_21,770528,9716193,Semestral,NTE INEN_1108,Turbiedad,28/08/2020 14:04,0.7,
Mazar,Agua potable,Cocina,770500,9716243,Semestral,NTE INEN_1108,Coliformes fecales,29/08/2020 10:00,1.1,
Mazar,Agua potable,Cocina,770500,9716243,Semestral,NTE INEN_1108,Color real,29/08/2020 10:00,6,
Mazar,Agua potable,Cocina,770500,9716243,Semestral,NTE INEN_1108,DBO5,29/08/2020 10:00,0,
Mazar,Agua potable,Cocina,770500,9716243,Semestral,NTE INEN_1108,DQO,29/08/2020 10:00,4,
Mazar,Agua potable,Cocina,770500,9716243,Semestral,NTE INEN_1108,Turbiedad,29/08/2020 10:00,0.7,
Mazar,Agua potable,Casa_de_máquinas_baño varones ,765498,9713304,Anual,NTE INEN_1108,Coliformes fecales,20/11/2020 10:30,1.1,
Mazar,Agua potable,Casa_de_máquinas_baño varones ,765498,9713304,Anual,NTE INEN_1108,DBO5,20/11/2020 10:30,0,
Mazar,Agua potable,Casa_de_máquinas_baño varones ,765498,9713304,Anual,NTE INEN_1108,DQO,20/11/2020 10:30,0,
Mazar,Agua potable,Casa_de_máquinas_baño varones ,765498,9713304,Anual,NTE INEN_1108,Hierro,20/11/2020 10:30,0,
Mazar,Agua potable,Casa_de_máquinas_baño varones ,765498,9713304,Anual,NTE INEN_1108,Color real,20/11/2020 10:30,6,
Mazar,Agua potable,Casa_de_máquinas_baño varones ,765498,9713304,Anual,NTE INEN_1108,Turbiedad,20/11/2020 10:30,0.7,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,Coliformes fecales,20/11/2020 11:00,1.1,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,DBO5,20/11/2020 11:00,0,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,DQO,20/11/2020 11:00,0,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,Hierro,20/11/2020 11:00,6,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,Color real,20/11/2020 11:00,0,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,Turbiedad,20/11/2020 11:00,0.7,
Mazar,Agua potable,Planta_de_tratamiento_arenales,770542,9716201,Anual,NTE INEN_1108,Coliformes fecales,20/11/2020 11:45,1.1,
Mazar,Agua potable,Planta_de_tratamiento_arenales,770542,9716201,Anual,NTE INEN_1108,DBO5,20/11/2020 11:45,0,
Mazar,Agua potable,Planta_de_tratamiento_arenales,770542,9716201,Anual,NTE INEN_1108,DQO,20/11/2020 11:45,0,
Mazar,Agua potable,Planta_de_tratamiento_arenales,770542,9716201,Anual,NTE INEN_1108,Hierro,20/11/2020 11:45,0,
Mazar,Agua potable,Planta_de_tratamiento_arenales,770542,9716201,Anual,NTE INEN_1108,Color real,20/11/2020 11:45,0,
Mazar,Agua potable,Planta_de_tratamiento_arenales,770542,9716201,Anual,NTE INEN_1108,Turbiedad,20/11/2020 11:45,0.7,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,Coliformes fecales,20/11/2020 12:10,1.1,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,DBO5,20/11/2020 12:10,0,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,DQO,20/11/2020 12:10,0,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,Hierro,20/11/2020 12:10,0,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,Color real,20/11/2020 12:10,6,
Mazar,Agua potable,Cocina,770500,9716243,Anual,NTE INEN_1108,Turbiedad,20/11/2020 12:10,0.7,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Coliformes fecales,20/11/2020 13:30,1.1,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,DBO5,20/11/2020 13:30,0,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,DQO,20/11/2020 13:30,0,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Hierro,20/11/2020 13:30,0,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Color real,20/11/2020 13:30,0,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Turbiedad,20/11/2020 13:30,0.7,
Mazar,Agua potable,Casa_de_máquinas_baño de varones,765498,9713304,Anual,NTE INEN_1108,Coliformes fecales,17/05/2021 14:10,1.1,
Mazar,Agua potable,Casa_de_máquinas_baño de varones,765498,9713304,Anual,NTE INEN_1108,DBO5,17/05/2021 14:10,0,
Mazar,Agua potable,Casa_de_máquinas_baño de varones,765498,9713304,Anual,NTE INEN_1108,DQO,17/05/2021 14:10,0,
Mazar,Agua potable,Casa_de_máquinas_baño de varones,765498,9713304,Anual,NTE INEN_1108,Color real,17/05/2021 14:10,0,
Mazar,Agua potable,Casa_de_máquinas_baño de varones,765498,9713304,Anual,NTE INEN_1108,Hierro,17/05/2021 14:10,1.7,
Mazar,Agua potable,Casa_de_máquinas_baño de varones,765498,9713304,Anual,NTE INEN_1108,Turbiedad,17/05/2021 14:10,0.7,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,Coliformes fecales,17/05/2021 19:07,1.1,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,DBO5,17/05/2021 19:07,0,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,DQO,17/05/2021 19:07,0,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,Color real,17/05/2021 19:07,0,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,Hierro,17/05/2021 19:07,1.7,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,Turbiedad,17/05/2021 19:07,0.7,
Mazar,Agua potable,Planta_de_tratamiento _arenales,770542,9716201,Anual,NTE INEN_1108,Coliformes fecales,17/05/2021 12:45,1.1,
Mazar,Agua potable,Planta_de_tratamiento _arenales,770542,9716201,Anual,NTE INEN_1108,DBO5,17/05/2021 12:45,0,
Mazar,Agua potable,Planta_de_tratamiento _arenales,770542,9716201,Anual,NTE INEN_1108,DQO,17/05/2021 12:45,0,
Mazar,Agua potable,Planta_de_tratamiento _arenales,770542,9716201,Anual,NTE INEN_1108,Color real,17/05/2021 12:45,0,
Mazar,Agua potable,Planta_de_tratamiento _arenales,770542,9716201,Anual,NTE INEN_1108,Hierro,17/05/2021 12:45,1.7,
Mazar,Agua potable,Planta_de_tratamiento _arenales,770542,9716201,Anual,NTE INEN_1108,Turbiedad,17/05/2021 12:45,0.7,
Mazar,Agua potable,Baño_Cocina,770478,9716233,Anual,NTE INEN_1108,Coliformes fecales,17/05/2021 19:30,1.1,
Mazar,Agua potable,Baño_Cocina,770478,9716233,Anual,NTE INEN_1108,DBO5,17/05/2021 19:30,0,
Mazar,Agua potable,Baño_Cocina,770478,9716233,Anual,NTE INEN_1108,DQO,17/05/2021 19:30,0,
Mazar,Agua potable,Baño_Cocina,770478,9716233,Anual,NTE INEN_1108,Color real,17/05/2021 19:30,0,
Mazar,Agua potable,Baño_Cocina,770478,9716233,Anual,NTE INEN_1108,Hierro,17/05/2021 19:30,1.7,
Mazar,Agua potable,Baño_Cocina,770478,9716233,Anual,NTE INEN_1108,Turbiedad,17/05/2021 19:30,0.7,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Coliformes fecales,17/05/2021 20:00,1.1,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,DBO5,17/05/2021 20:00,0,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,DQO,17/05/2021 20:00,0,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Color real,17/05/2021 20:00,0,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Hierro,17/05/2021 20:00,1.7,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Turbiedad,17/05/2021 20:00,0.7,
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Semestral,NTE INEN_1108,Color real,19/03/2018 15:20,26,
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Semestral,NTE INEN_1108,Turbiedad,19/03/2018 15:20,0.22,
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Semestral,NTE INEN_1108,DBO5,19/03/2018 15:20,1.98,
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Semestral,NTE INEN_1108,DQO,19/03/2018 15:20,3.18,
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Semestral,NTE INEN_1108,Coliformes fecales,19/03/2018 15:20,1,
Molino,Agua potable,Cocina,777681,9714646,Semestral,NTE INEN_1108,Color real,20/03/2018 16:30,23,
Molino,Agua potable,Cocina,777681,9714646,Semestral,NTE INEN_1108,Turbiedad,20/03/2018 16:30,0.22,
Molino,Agua potable,Cocina,777681,9714646,Semestral,NTE INEN_1108,DBO5,20/03/2018 16:30,1.59,
Molino,Agua potable,Cocina,777681,9714646,Semestral,NTE INEN_1108,DQO,20/03/2018 16:30,3.74,
Molino,Agua potable,Cocina,777681,9714646,Semestral,NTE INEN_1108,Coliformes fecales,20/03/2018 16:30,1,
Molino,Agua potable,Villa,777938,9714322,Semestral,NTE INEN_1108,Color real,20/03/2018 16:42,30,
Molino,Agua potable,Villa,777938,9714322,Semestral,NTE INEN_1108,Turbiedad,20/03/2018 16:42,0.21,
Molino,Agua potable,Villa,777938,9714322,Semestral,NTE INEN_1108,DBO5,20/03/2018 16:42,1.32,
Molino,Agua potable,Villa,777938,9714322,Semestral,NTE INEN_1108,DQO,20/03/2018 16:42,2.57,
